location,size,total_sqft,bath,price,bhk,price_per_sqft
Electronic City Phase II,1 BHK,630,1,28.35,1,4500
Electronic City Phase II,2 BHK,1000,2,25,2,2500
Electronic City Phase II,2 BHK,1090,2,28.34,2,2600
Electronic City Phase II,4 BHK,2225,4,98.88,4,4444.04
Electronic City Phase II,2 BHK,775,2,38,2,4903.23
Electronic City Phase II,2 BHK,1266,2,59,2,4660.35
Electronic City Phase II,2 BHK,1000,2,28.88,2,2888
Electronic City Phase II,2 BHK,972,2,44,2,4526.75
Electronic City Phase II,2 BHK,1031,2,55,2,5334.63
Electronic City Phase II,2 BHK,1003,2,40.6,2,4047.86
Electronic City Phase II,2 BHK,1031,2,56.35,2,5465.57
Electronic City Phase II,3 BHK,1395,2,62.78,3,4500.36
Electronic City Phase II,2 BHK,1160,2,33.5,2,2887.93
Electronic City Phase II,2 BHK,1065,2,30.75,2,2887.32
Electronic City Phase II,2 BHK,1219,2,61.25,2,5024.61
Electronic City Phase II,2 BHK,1000,2,28.88,2,2888
Electronic City Phase II,3 BHK,1790,3,100,3,5586.59
Electronic City Phase II,2 BHK,769,2,40,2,5201.56
Electronic City Phase II,2 BHK,900,2,32.5,2,3611.11
Electronic City Phase II,3 BHK,993,2,50,3,5035.25
Electronic City Phase II,3 BHK,1418,3,52.47,3,3700.28
Electronic City Phase II,2 BHK,1070,2,45,2,4205.61
Electronic City Phase II,2 BHK,1140,2,33.06,2,2900
Electronic City Phase II,2 BHK,1089,2,32.67,2,3000
Electronic City Phase II,2 BHK,1031,2,55,2,5334.63
Electronic City Phase II,2 BHK,1253,2,65.8,2,5251.4
Electronic City Phase II,2 BHK,1160,2,33.5,2,2887.93
Electronic City Phase II,3 BHK,975,2,45,3,4615.38
Electronic City Phase II,4 Bedroom,6000,4,260,4,4333.33
Electronic City Phase II,2 BHK,1116,2,37,2,3315.41
Electronic City Phase II,2 BHK,1125,2,29.25,2,2600
Electronic City Phase II,2 BHK,1000,2,28.88,2,2888
Electronic City Phase II,2 BHK,1000,2,28.88,2,2888
Electronic City Phase II,2 BHK,1000,2,28.88,2,2888
Electronic City Phase II,2 BHK,1165,2,30.29,2,2600
Electronic City Phase II,4 Bedroom,3550,2.69,167.5,4,4718.31
Electronic City Phase II,2 BHK,1031,2,53,2,5140.64
Electronic City Phase II,2 BHK,1065,2,30.88,2,2899.53
Electronic City Phase II,3 BHK,1549,3,80,3,5164.62
Electronic City Phase II,2 BHK,1065,2,56.13,2,5270.42
Electronic City Phase II,2 BHK,920,2,26,2,2826.09
Electronic City Phase II,2 BHK,1140,2,33.84,2,2968.42
Electronic City Phase II,2 BHK,1219,2,61.26,2,5025.43
Electronic City Phase II,3 BHK,1252,2,65,3,5191.69
Electronic City Phase II,2 BHK,1125,2,32.49,2,2888
Electronic City Phase II,2 BHK,1286,2,69,2,5365.47
Electronic City Phase II,2 BHK,1140,2,32.92,2,2887.72
Electronic City Phase II,2 BHK,1116,2,40,2,3584.23
Electronic City Phase II,3 BHK,1150,3,46,3,4000
Electronic City Phase II,3 BHK,1192,2,47,3,3942.95
Electronic City Phase II,2 BHK,1020,2,32,2,3137.25
Electronic City Phase II,4 Bedroom,1900,3,97,4,5105.26
Electronic City Phase II,2 BHK,1020,2,27.43,2,2689.22
Electronic City Phase II,2 BHK,1025,2,26.65,2,2600
Electronic City Phase II,2 BHK,1020,2,29.45,2,2887.25
Electronic City Phase II,2 BHK,1000,2,28.88,2,2888
Electronic City Phase II,2 BHK,1140,2,28.5,2,2500
Electronic City Phase II,2 BHK,1125,2,32.49,2,2888
Electronic City Phase II,2 BHK,1200,2,34.65,2,2887.5
Electronic City Phase II,2 BHK,1160,2,52.2,2,4500
Electronic City Phase II,2 BHK,1244,2,55,2,4421.22
Electronic City Phase II,2 BHK,1160,2,33.51,2,2888.79
Electronic City Phase II,2 BHK,972,2,40,2,4115.23
Electronic City Phase II,2 BHK,1160,2,33.51,2,2888.79
Electronic City Phase II,2 BHK,1090,2,31.48,2,2888.07
Electronic City Phase II,2 BHK,1140,2,32.92,2,2887.72
Electronic City Phase II,1 BHK,650,1,35,1,5384.62
Electronic City Phase II,2 BHK,1155,2,57,2,4935.06
Electronic City Phase II,3 BHK,1800,3,92,3,5111.11
Electronic City Phase II,2 BHK,1300,2,28,2,2153.85
Electronic City Phase II,2 BHK,1160,2,33.5,2,2887.93
Electronic City Phase II,2 BHK,1025,2,29.6,2,2887.8
Electronic City Phase II,2 BHK,829,2,22.8,2,2750.3
Electronic City Phase II,4 BHK,2187.5,4,105,4,4800
Electronic City Phase II,2 BHK,1252,2,67,2,5351.44
Electronic City Phase II,2 BHK,1125,2,32.63,2,2900.44
Electronic City Phase II,2 BHK,1140,2,34,2,2982.46
Electronic City Phase II,3 BHK,1252,2,65,3,5191.69
Electronic City Phase II,2 BHK,1135,2,46,2,4052.86
Electronic City Phase II,3 BHK,1305,3,65,3,4980.84
Electronic City Phase II,2 BHK,1165,2,33.64,2,2887.55
Electronic City Phase II,3 BHK,1336,2,50.35,3,3768.71
Electronic City Phase II,1 BHK,575,1,16.75,1,2913.04
Electronic City Phase II,3 BHK,925,2,49.82,3,5385.95
Electronic City Phase II,2 BHK,1065,2,30.76,2,2888.26
Electronic City Phase II,2 BHK,1065,2,30.75,2,2887.32
Electronic City Phase II,2 BHK,1140,2,33.06,2,2900
Electronic City Phase II,2 BHK,911,2,26.5,2,2908.89
Electronic City Phase II,2 BHK,1200,2,34.65,2,2887.5
Electronic City Phase II,2 BHK,1031,2,54.48,2,5284.19
Electronics City Phase 1,3 BHK,1475,3,78.29,3,5307.8
Electronics City Phase 1,3 BHK,1490,3,78.8,3,5288.59
Electronics City Phase 1,2 BHK,1113.27,2,53,2,4760.75
Electronics City Phase 1,3 BHK,1490,3,84,3,5637.58
Electronics City Phase 1,2 BHK,1015,2,56,2,5517.24
Electronics City Phase 1,3 BHK,1515,2,80.91,3,5340.59
Electronics City Phase 1,2 BHK,995,2,46,2,4623.12
Electronics City Phase 1,3 BHK,1555,2,82,3,5273.31
Electronics City Phase 1,2 BHK,1340,2,75,2,5597.01
Electronics City Phase 1,3 BHK,1124,2,55,3,4893.24
Electronics City Phase 1,2 BHK,1175,2,57,2,4851.06
Electronics City Phase 1,1 BHK,755,1,42.41,1,5617.22
Electronics City Phase 1,1 BHK,580,1,27,1,4655.17
Electronics City Phase 1,2 BHK,940,2,49,2,5212.77
Electronics City Phase 1,2 BHK,1335,2,67,2,5018.73
Electronics City Phase 1,2 BHK,1113.12,2,55,2,4941.07
Electronics City Phase 1,3 BHK,1350,3,71,3,5259.26
Electronics City Phase 1,2 BHK,995,2,49.8,2,5005.03
Electronics City Phase 1,1 BHK,635,1,26,1,4094.49
Electronics City Phase 1,2 BHK,1190,2,68,2,5714.29
Electronics City Phase 1,3 BHK,1450,3,72.54,3,5002.76
Electronics City Phase 1,1 RK,360,1,16.9,1,4694.44
Electronics City Phase 1,1 BHK,638,1,32,1,5015.67
Electronics City Phase 1,2 BHK,1175,2,64.98,2,5530.21
Electronics City Phase 1,1 BHK,585,1,21,1,3589.74
Electronics City Phase 1,2 BHK,1200,2,59.76,2,4980
Electronics City Phase 1,2 BHK,1145,2,54,2,4716.16
Electronics City Phase 1,2 BHK,1125,2,65,2,5777.78
Electronics City Phase 1,3 BHK,1550,2,82,3,5290.32
Electronics City Phase 1,2 BHK,865,2,40,2,4624.28
Electronics City Phase 1,3 BHK,1800,3,93,3,5166.67
Electronics City Phase 1,2 BHK,1314,2,60,2,4566.21
Electronics City Phase 1,2 BHK,1170,2,62,2,5299.15
Electronics City Phase 1,3 BHK,1450,3,79,3,5448.28
Electronics City Phase 1,2 BHK,940,2,48,2,5106.38
Electronics City Phase 1,2 BHK,940,2,44,2,4680.85
Electronics City Phase 1,2 BHK,1300,2,67,2,5153.85
Electronics City Phase 1,2 BHK,1028,2,51,2,4961.09
Electronics City Phase 1,2 BHK,1205,2,60,2,4979.25
Electronics City Phase 1,2 BHK,1305,2,67,2,5134.1
Electronics City Phase 1,1 BHK,755,1,30.12,1,3989.4
Electronics City Phase 1,2 BHK,1175,2,60,2,5106.38
Frazer Town,3 BHK,1700,3,180,3,10588.24
Frazer Town,3 BHK,1305,3,95.45,3,7314.18
Frazer Town,3 BHK,1870,3,185,3,9893.05
Frazer Town,3 BHK,1750,3,150,3,8571.43
Frazer Town,3 BHK,2000,3,200,3,10000
Frazer Town,3 BHK,3500,4,330,3,9428.57
Frazer Town,3 BHK,2350,4,285,3,12127.66
Frazer Town,2 BHK,1550,2,140,2,9032.26
Frazer Town,3 BHK,1900,4,145,3,7631.58
Frazer Town,3 BHK,2560,3,265,3,10351.56
Frazer Town,3 BHK,2400,3,260,3,10833.33
Frazer Town,3 BHK,2560,3,288,3,11250
Frazer Town,4 BHK,3436,5,341,4,9924.33
Frazer Town,2 BHK,1315,2,140,2,10646.39
Frazer Town,3 BHK,1706,3,154,3,9026.96
Frazer Town,3 BHK,2079,3,220,3,10582.01
Frazer Town,4 BHK,3435,2,341,4,9927.22
Frazer Town,4 BHK,3436,5,345,4,10040.75
Frazer Town,3 BHK,3100,3,400,3,12903.23
Frazer Town,3 BHK,5400,3,400,3,7407.41
Frazer Town,2 BHK,1180,2,105,2,8898.31
Frazer Town,4 BHK,2900,4,325,4,11206.9
Frazer Town,3 BHK,1870,3,180,3,9625.67
Frazer Town,1 Bedroom,896,1,100,1,11160.71
Frazer Town,2 BHK,1420,2,120,2,8450.7
GM Palaya,3 BHK,1820,2,86,3,4725.27
GM Palaya,2 BHK,1225,2,47,2,3836.73
GM Palaya,2 BHK,1140,2,48.95,2,4293.86
GM Palaya,3 BHK,1315,2,65,3,4942.97
GM Palaya,3 BHK,1315,3,65,3,4942.97
GM Palaya,3 BHK,1315,3,64,3,4866.92
GM Palaya,3 BHK,1735,3,70,3,4034.58
GM Palaya,3 BHK,1643,2,70,3,4260.5
Garudachar Palya,3 BHK,1325,2,60.8,3,4588.68
Garudachar Palya,2 BHK,1060,2,48.7,2,4594.34
Garudachar Palya,2 BHK,1150,2,52.75,2,4586.96
Garudachar Palya,3 BHK,1295,2,59.5,3,4594.59
Garudachar Palya,3 BHK,1320,2,60.6,3,4590.91
Garudachar Palya,3 BHK,1295,2,59.5,3,4594.59
Garudachar Palya,2 BHK,1150,2,52.8,2,4591.3
Garudachar Palya,2 BHK,1150,2,52.8,2,4591.3
Garudachar Palya,2 BHK,1060,2,48.5,2,4575.47
Garudachar Palya,2 BHK,1150,2,52.5,2,4565.22
Garudachar Palya,3 BHK,1325,2,60.8,3,4588.68
Garudachar Palya,2 BHK,1060,2,48.66,2,4590.57
Garudachar Palya,2 BHK,1150,2,52,2,4521.74
Garudachar Palya,2 BHK,1154,2,51.8,2,4488.73
Giri Nagar,4 Bedroom,2400,4,400,4,16666.67
Giri Nagar,3 Bedroom,1800,3,252,3,14000
Giri Nagar,3 Bedroom,1350,3,240,3,17777.78
Giri Nagar,4 Bedroom,2400,4,400,4,16666.67
Giri Nagar,6 Bedroom,3000,4,375,6,12500
Giri Nagar,6 Bedroom,2400,6,400,6,16666.67
Giri Nagar,4 Bedroom,4000,3,750,4,18750
Gollarapalya Hosahalli,2 BHK,861,2,34.5,2,4006.97
Gollarapalya Hosahalli,3 BHK,1408,3,62,3,4403.41
Gollarapalya Hosahalli,2 BHK,861,2,34.5,2,4006.97
Gollarapalya Hosahalli,3 BHK,1318,3,54,3,4097.12
Gollarapalya Hosahalli,2 BHK,861,2,36.5,2,4239.26
Gollarapalya Hosahalli,3 BHK,1320,3,60,3,4545.45
Gollarapalya Hosahalli,3 BHK,1345,3,60,3,4460.97
Gollarapalya Hosahalli,4 BHK,1905,3,86,4,4514.44
Gollarapalya Hosahalli,3 BHK,1318,3,56,3,4248.86
Gollarapalya Hosahalli,2 BHK,1129,2,50,2,4428.7
Gottigere,2 BHK,1100,2,40,2,3636.36
Gottigere,2 BHK,967,2,45,2,4653.57
Gottigere,3 BHK,1618,3,82.5,3,5098.89
Gottigere,2 BHK,1222,2,63,2,5155.48
Gottigere,3 BHK,1300,3,65,3,5000
Gottigere,2 BHK,950,2,38,2,4000
Gottigere,2 BHK,1153,2,48.5,2,4206.42
Gottigere,1 Bedroom,812,1,26,1,3201.97
Gottigere,3 BHK,1460,2,65,3,4452.05
Gottigere,3 BHK,1500,3,70,3,4666.67
Gottigere,3 BHK,1621,3,72,3,4441.7
Gottigere,1 Bedroom,812,1,26,1,3201.97
Gottigere,2 BHK,990,2,40,2,4040.4
Gottigere,2 BHK,1235,2,63,2,5101.21
Gottigere,3 BHK,1385,3,64,3,4620.94
Gottigere,2 BHK,1000,2,35,2,3500
Gottigere,2 BHK,1010,2,35,2,3465.35
Gottigere,3 BHK,1435,2,62,3,4320.56
Gottigere,2 BHK,945,2,45,2,4761.9
Gottigere,4 Bedroom,2500,3,120,4,4800
Gottigere,3 BHK,1230,2,52,3,4227.64
Gottigere,2 BHK,1120,2,50,2,4464.29
Gottigere,3 BHK,1500,3,63,3,4200
Gottigere,2 BHK,1200,2,40,2,3333.33
Gottigere,2 BHK,1280,2,61,2,4765.62
Gottigere,2 BHK,1205,2,56.58,2,4695.44
Gottigere,2 BHK,1170,2,40,2,3418.8
Gottigere,4 Bedroom,3000,3,132,4,4400
Gottigere,3 BHK,1613,3,72,3,4463.73
Gottigere,2 BHK,1110,2,36.25,2,3265.77
Gottigere,2 BHK,1245,2,59,2,4738.96
Gottigere,2 BHK,1200,2,50,2,4166.67
Green Glen Layout,3 BHK,1670,3,120,3,7185.63
Green Glen Layout,4 BHK,3250,4,230,4,7076.92
Green Glen Layout,3 BHK,1776.42,3,105,3,5910.76
Green Glen Layout,4 BHK,3250,4,230,4,7076.92
Green Glen Layout,2 BHK,940,2,56.8,2,6042.55
Green Glen Layout,2 BHK,1075,2,60,2,5581.4
Green Glen Layout,3 BHK,1715,3,115,3,6705.54
Green Glen Layout,3 BHK,1751,2,115,3,6567.68
Green Glen Layout,3 BHK,1750,3,130,3,7428.57
Green Glen Layout,3 BHK,1530,3,105,3,6862.75
Green Glen Layout,3 BHK,1752,3,105,3,5993.15
Green Glen Layout,3 BHK,1680,4,95,3,5654.76
Green Glen Layout,3 BHK,1728,3,125,3,7233.8
Green Glen Layout,3 BHK,1645,3,110,3,6686.93
Green Glen Layout,3 BHK,1517,3,100,3,6591.96
Green Glen Layout,4 BHK,3150,4,218,4,6920.63
Green Glen Layout,3 BHK,1750,3,120,3,6857.14
Green Glen Layout,3 BHK,1751,3,115,3,6567.68
Green Glen Layout,3 BHK,1750,3,105,3,6000
Green Glen Layout,3 BHK,1885,3,135,3,7161.8
Green Glen Layout,3 BHK,1715,3,120,3,6997.08
Green Glen Layout,3 BHK,1623.29,2,105,3,6468.35
Green Glen Layout,3 BHK,1715,3,115,3,6705.54
Green Glen Layout,3 BHK,1715,3,105,3,6122.45
Green Glen Layout,3 BHK,1600,3,105,3,6562.5
Green Glen Layout,3 BHK,1717,3,125,3,7280.14
Green Glen Layout,2 BHK,1250,2,75,2,6000
Green Glen Layout,3 BHK,1715,3,112,3,6530.61
Gubbalala,3 BHK,1470,2,82,3,5578.23
Gubbalala,3 BHK,1745,3,104,3,5959.89
Gubbalala,3 BHK,1745,3,115,3,6590.26
Gubbalala,3 BHK,1745,3,110,3,6303.72
Gubbalala,3 BHK,1650,3,71,3,4303.03
Gubbalala,5 BHK,2570,4,141,5,5486.38
Gubbalala,2 BHK,1205,2,70,2,5809.13
Gubbalala,3 BHK,1435,2,80,3,5574.91
Gubbalala,2 BHK,1475,2,80,2,5423.73
Gubbalala,2 BHK,1100,2,49.5,2,4500
Gubbalala,2 BHK,1060,2,46,2,4339.62
Gubbalala,3 BHK,2000,3,125,3,6250
Gunjur,2 BHK,1140,2,43,2,3771.93
Gunjur,3 BHK,1356,2,66,3,4867.26
Gunjur,3 BHK,1600,3,75,3,4687.5
Gunjur,4 Bedroom,2000,3,95,4,4750
Gunjur,2 BHK,1140,2,49.11,2,4307.89
Gunjur,2 BHK,1195,2,44,2,3682.01
Gunjur,2 BHK,1190,2,40,2,3361.34
Gunjur,2 BHK,1457,2,60,2,4118.05
Gunjur,2 BHK,1080,2,41,2,3796.3
Gunjur,2 BHK,1175,2,43.48,2,3700.43
Gunjur,3 BHK,1362,3,62.63,3,4598.38
Gunjur,2 BHK,1071,2,51,2,4761.9
Gunjur,2 BHK,1063,2,40,2,3762.94
Gunjur,2 BHK,1235,2,52.76,2,4272.06
Gunjur,3 BHK,1362,3,62.63,3,4598.38
Gunjur,3 BHK,1362,3,62.63,3,4598.38
Gunjur,3 BHK,1588,2,90,3,5667.51
Gunjur,2 BHK,1235,2,44.5,2,3603.24
Gunjur,2 BHK,1457,2,60,2,4118.05
HAL 2nd Stage,3 BHK,1490,2,300,3,20134.23
HAL 2nd Stage,2 Bedroom,600,3,145,2,24166.67
HAL 2nd Stage,3 Bedroom,2700,3,500,3,18518.52
HAL 2nd Stage,5 Bedroom,2040,4,500,5,24509.8
HBR Layout,3 BHK,2800,2,200,3,7142.86
HBR Layout,3 BHK,1722,3,95,3,5516.84
HBR Layout,4 Bedroom,1200,4,120,4,10000
HBR Layout,2 BHK,1200,2,60,2,5000
HBR Layout,2 BHK,1004,2,49,2,4880.48
HBR Layout,3 BHK,1783,3,125,3,7010.66
HBR Layout,3 BHK,1656,3,90,3,5434.78
HBR Layout,2 BHK,1089,2,60,2,5509.64
HBR Layout,3 BHK,1700,3,110,3,6470.59
HBR Layout,2 BHK,1198,2,65,2,5425.71
HBR Layout,4 Bedroom,1200,4,115,4,9583.33
HBR Layout,2 Bedroom,1200,2,120,2,10000
HBR Layout,3 BHK,1832,3,160,3,8733.62
HRBR Layout,2 BHK,1374,2,95,2,6914.12
HRBR Layout,2 BHK,1440,2,98,2,6805.56
HRBR Layout,3 BHK,2800,3,250,3,8928.57
HRBR Layout,2 BHK,1210,2,75,2,6198.35
HRBR Layout,2 BHK,1265,2,78,2,6166.01
HRBR Layout,2 BHK,1170,2,75,2,6410.26
HRBR Layout,4 BHK,1900,3,90,4,4736.84
HRBR Layout,3 BHK,1625,3,120,3,7384.62
HRBR Layout,2 BHK,1301,2,120,2,9223.67
HRBR Layout,2 BHK,1145,2,68.5,2,5982.53
HRBR Layout,2 BHK,1300,2,90,2,6923.08
HSR Layout,2 BHK,1372,2,68,2,4956.27
HSR Layout,3 BHK,1475,3,75,3,5084.75
HSR Layout,2 BHK,1467,2,55,2,3749.15
HSR Layout,2 BHK,1140,2,46,2,4035.09
HSR Layout,2 BHK,1372,2,61,2,4446.06
HSR Layout,3 BHK,1750,3,95,3,5428.57
HSR Layout,2 BHK,1027,2,44,2,4284.32
HSR Layout,3 BHK,1650,3,110,3,6666.67
HSR Layout,2 BHK,1140,2,46,2,4035.09
HSR Layout,2 BHK,1372,2,61,2,4446.06
HSR Layout,2 BHK,1140,2,46,2,4035.09
HSR Layout,2 BHK,1185,2,60,2,5063.29
HSR Layout,2 BHK,1127,2,68,2,6033.72
HSR Layout,3 BHK,1600,2,115,3,7187.5
HSR Layout,2 BHK,1145,2,48,2,4192.14
HSR Layout,2 BHK,1009,2,56,2,5550.05
HSR Layout,2 BHK,1300,2,98,2,7538.46
HSR Layout,2 BHK,1140,2,46,2,4035.09
HSR Layout,2 BHK,1126,2,69,2,6127.89
HSR Layout,2 BHK,1140,2,46,2,4035.09
HSR Layout,2 BHK,1145,2,46,2,4017.47
HSR Layout,2 BHK,1142,2,65,2,5691.77
HSR Layout,2 BHK,1145,2,46,2,4017.47
HSR Layout,3 BHK,1844,3,95,3,5151.84
HSR Layout,2 BHK,1203,2,72,2,5985.04
HSR Layout,2 BHK,1140,2,46,2,4035.09
HSR Layout,5 Bedroom,4200,5,245,5,5833.33
HSR Layout,2 BHK,1140,2,46,2,4035.09
HSR Layout,2 BHK,1145,2,46,2,4017.47
HSR Layout,2 BHK,1009,2,56,2,5550.05
HSR Layout,2 BHK,1145,2,46,2,4017.47
HSR Layout,2 BHK,1100,2,44,2,4000
HSR Layout,2 BHK,1203,2,60,2,4987.53
HSR Layout,2 BHK,1120,2,70,2,6250
HSR Layout,2 BHK,1140,2,46,2,4035.09
HSR Layout,2 BHK,1289,2,70,2,5430.57
HSR Layout,3 BHK,1844,3,89,3,4826.46
HSR Layout,2 BHK,1203,2,60,2,4987.53
HSR Layout,2 BHK,1140,2,46,2,4035.09
Haralur Road,2 BHK,1240,2,70,2,5645.16
Haralur Road,2 BHK,1027,2,44,2,4284.32
Haralur Road,2 BHK,1194,2,47,2,3936.35
Haralur Road,2 BHK,1202,2,53,2,4409.32
Haralur Road,2 BHK,1056,2,61,2,5776.52
Haralur Road,3 BHK,1810,3,100,3,5524.86
Haralur Road,2 BHK,1194,2,46,2,3852.6
Haralur Road,2 BHK,1225,2,67.38,2,5500.41
Haralur Road,2 BHK,1243,2,46,2,3700.72
Haralur Road,2 BHK,1027,2,44,2,4284.32
Haralur Road,3 BHK,1920,3,115,3,5989.58
Haralur Road,3 BHK,1875,3,110,3,5866.67
Haralur Road,2 BHK,1194,2,47,2,3936.35
Haralur Road,2 BHK,1140,2,43,2,3771.93
Haralur Road,2 BHK,1027,2,44,2,4284.32
Haralur Road,2 BHK,1194,2,46,2,3852.6
Haralur Road,3 BHK,2017,3,125,3,6197.32
Haralur Road,2 BHK,1140,2,43,2,3771.93
Haralur Road,3 BHK,1875,3,110,3,5866.67
Haralur Road,2 BHK,1092,2,44,2,4029.3
Haralur Road,3 BHK,2475,4,130,3,5252.53
Haralur Road,2 BHK,1300,2,73,2,5615.38
Haralur Road,2 BHK,1194,2,47,2,3936.35
Haralur Road,2 BHK,1243,2,46,2,3700.72
Haralur Road,3 BHK,1850,3,110,3,5945.95
Haralur Road,2 BHK,1225,2,67.38,2,5500.41
Haralur Road,2 BHK,1243,2,46,2,3700.72
Haralur Road,4 BHK,3400,5,240,4,7058.82
Haralur Road,2 BHK,1464,2,56,2,3825.14
Haralur Road,2 BHK,1230,2,78,2,6341.46
Haralur Road,2 BHK,1000,2,44,2,4400
Haralur Road,2 BHK,1300,2,79,2,6076.92
Haralur Road,3 BHK,1444,2,80,3,5540.17
Haralur Road,2 BHK,1088,2,68,2,6250
Haralur Road,2 BHK,1027,2,44,2,4284.32
Haralur Road,2 BHK,1225,2,70,2,5714.29
Haralur Road,2 BHK,1194,2,46,2,3852.6
Haralur Road,3 BHK,1830,3,101,3,5519.13
Haralur Road,3 BHK,1810,3,126,3,6961.33
Haralur Road,2 BHK,1464,2,56,2,3825.14
Haralur Road,3 BHK,1520,2,96,3,6315.79
Haralur Road,2 BHK,1300,2,75,2,5769.23
Haralur Road,3 BHK,2017,2,125,3,6197.32
Haralur Road,2 BHK,1243,2,46,2,3700.72
Haralur Road,2 BHK,1027,2,44,2,4284.32
Haralur Road,4 BHK,2805,5,160,4,5704.1
Haralur Road,2 BHK,1243,2,46,2,3700.72
Haralur Road,2 BHK,1027,2,44,2,4284.32
Haralur Road,3 BHK,2017,3,105,3,5205.75
Haralur Road,2 BHK,1243,2,46,2,3700.72
Haralur Road,2 BHK,1243,2,46,2,3700.72
Haralur Road,3 BHK,1520,2,90,3,5921.05
Haralur Road,2 BHK,1300,2,60,2,4615.38
Haralur Road,3 BHK,1985,3,130,3,6549.12
Haralur Road,3 BHK,1255,2,90,3,7171.31
Haralur Road,2 BHK,1056,2,60,2,5681.82
Haralur Road,2 BHK,1140,2,42,2,3684.21
Haralur Road,2 BHK,1245,2,62,2,4979.92
Haralur Road,2 BHK,1140,2,58,2,5087.72
Haralur Road,2 BHK,1140,2,42,2,3684.21
Haralur Road,2 BHK,1027,2,43,2,4186.95
Haralur Road,2 BHK,1194,2,47,2,3936.35
Haralur Road,2 BHK,1194,2,47,2,3936.35
Haralur Road,3 BHK,1560,3,90,3,5769.23
Haralur Road,3 BHK,1520,2,85,3,5592.11
Haralur Road,2 BHK,1243,2,45,2,3620.27
Haralur Road,2 BHK,1027,2,44,2,4284.32
Haralur Road,2 BHK,1194,2,46,2,3852.6
Haralur Road,3 BHK,1650,3,100,3,6060.61
Haralur Road,3 BHK,1580,3,73,3,4620.25
Haralur Road,2 BHK,1243,2,46,2,3700.72
Haralur Road,2 BHK,1194,2,47,2,3936.35
Haralur Road,3 BHK,1520,2,96,3,6315.79
Haralur Road,3 BHK,1510,3,83.05,3,5500
Haralur Road,2 BHK,1056,2,65,2,6155.3
Haralur Road,3 BHK,1810,3,100,3,5524.86
Haralur Road,2 BHK,1243,2,46,2,3700.72
Haralur Road,1 BHK,575,1,38,1,6608.7
Haralur Road,2 BHK,1194,2,46,2,3852.6
Haralur Road,2 BHK,1243,2,46,2,3700.72
Haralur Road,2 BHK,1194,2,46,2,3852.6
Haralur Road,2 BHK,1140,2,43,2,3771.93
Haralur Road,3 BHK,1850,3,120,3,6486.49
Haralur Road,2 BHK,1194,2,47,2,3936.35
Haralur Road,2 BHK,1194,2,47,2,3936.35
Haralur Road,2 BHK,1243,2,46,2,3700.72
Haralur Road,3 BHK,1710,3,85,3,4970.76
Haralur Road,3 BHK,1730,3,95,3,5491.33
Haralur Road,2 BHK,1243,2,46,2,3700.72
Haralur Road,2 BHK,1243,2,46,2,3700.72
Haralur Road,2 BHK,1243,2,46,2,3700.72
Haralur Road,3 BHK,1817,3,110,3,6053.94
Haralur Road,2 BHK,1225,2,77,2,6285.71
Haralur Road,2 BHK,1285,2,78,2,6070.04
Haralur Road,2 BHK,1225,2,67.48,2,5508.57
Haralur Road,2 BHK,1225,2,69.84,2,5701.22
Haralur Road,2 BHK,1200,2,46,2,3833.33
Haralur Road,2 BHK,1315,2,85,2,6463.88
Haralur Road,3 BHK,1976,3,92,3,4655.87
Haralur Road,2 BHK,1300,2,75,2,5769.23
Haralur Road,2 BHK,1309,2,82,2,6264.32
Haralur Road,2 BHK,1027,1,44,2,4284.32
Haralur Road,2 BHK,1243,2,46,2,3700.72
Haralur Road,2 BHK,1243,2,46,2,3700.72
Haralur Road,2 BHK,1140,2,43,2,3771.93
Haralur Road,2 BHK,1300,2,75,2,5769.23
Haralur Road,2 BHK,1243,2,46,2,3700.72
Haralur Road,3 BHK,1890,3,84,3,4444.44
Haralur Road,2 BHK,1230,2,67.65,2,5500
Haralur Road,2 BHK,1194,2,46,2,3852.6
Haralur Road,2 BHK,1092,2,44,2,4029.3
Haralur Road,3 BHK,1255,3,90,3,7171.31
Haralur Road,3 BHK,1735,3,97,3,5590.78
Haralur Road,3 BHK,1810,3,97.83,3,5404.97
Haralur Road,2 BHK,1200,2,46,2,3833.33
Haralur Road,2 BHK,1243,2,46,2,3700.72
Haralur Road,3 BHK,1810,3,112,3,6187.85
Harlur,2 BHK,1508,2,77,2,5106.1
Harlur,3 BHK,1752.12,3,135,3,7704.95
Harlur,3 BHK,1709,3,150,3,8777.06
Harlur,2 BHK,1174,2,69,2,5877.34
Harlur,2 BHK,1033,2,49,2,4743.47
Harlur,2 BHK,1197,2,84,2,7017.54
Harlur,3 BHK,1757,3,132,3,7512.81
Harlur,2 BHK,1174,2,76,2,6473.59
Harlur,3 BHK,1754,3,125,3,7126.57
Harlur,2 BHK,1290,2,85,2,6589.15
Harlur,3 BHK,1752.12,3,116,3,6620.55
Harlur,3 BHK,1754,3,135,3,7696.69
Harlur,3 BHK,1754,3,124,3,7069.56
Harlur,2 BHK,1152,2,69,2,5989.58
Harlur,2 BHK,1290,2,87,2,6744.19
Harlur,3 BHK,1749,3,115,3,6575.19
Harlur,4 Bedroom,3385,4,260,4,7680.95
Harlur,3 BHK,2240,5,155,3,6919.64
Harlur,3 BHK,1758,3,133,3,7565.42
Harlur,2 BHK,1197,2,79,2,6599.83
Harlur,2 BHK,1174,2,78,2,6643.95
